"subid","ceppcor_8SNR"
1006,0.435942033718301
1010,0.416920567236069
1012,0.452080715224071
1013,0.432498573991893
1014,0.410883351601751
1015,0.193971458807785
1016,0.285578923630784
1018,0.443876578778091
1019,0.437386743241873
1020,0.437786646118814
1021,0.498364714053768
1022,0.48455577321812
1024,0.479429738572053
1026,0.465434031942291
1027,0.480930207165039
1028,0.400139970752961
1029,0.484421701617055
1030,0.468854818838205
1033,0.462293810203395
1034,0.49880913607208
1035,0.385112978662277
1036,0.366522077976982
1037,0.437318278073976
1038,0.471138399024405
1040,0.398140794930751
1043,0.486210149182057
1045,0.442439945922317
1046,0.401087579740451
1048,0.430681511553301
1050,0.484049078701006
1051,0.492479681032521
1052,0.459932645313099
1053,0.367710848477611
1054,0.38255110602493
1055,0.509839177868845
1056,0.459439362491291
1057,0.424343520688637
1058,0.454860254675081
1059,0.398548071651351
1060,0.459860687537901
1061,0.425754012191438
1062,0.434860484121494
1063,0.506549310435687
1064,0.361466210729629
1067,0.446099587751357
1068,0.407434527707269
1069,0.443045624556045
1070,0.445719678712605
1071,0.438736964258832
1072,0.445386040495324
1073,0.409716256296811
1074,0.415523430275649
1075,0.401796865588134
1076,0.455277284682909
1077,0.428328631164416
1080,0.43982691273031
1082,0.455969174130698
1083,0.428843662538475
1084,0.443262964617389
1087,0.397330644154944
1088,0.400333373290846
1089,0.463736905644436
1090,0.308271964536967
1091,0.419131518662039
1092,0.399612613197092
1093,0.493590956428966
1094,0.48861029242547
1095,0.451836673504702
1096,0.433941522182747
1097,0.435339355982175
1098,0.412592373228148
1099,0.472378126456181
1100,0.333882268814663
1101,0.463226792064185
1103,0.463811347265026
1104,0.437641373718422
1105,0.437179796160348
1106,0.403630877870561
1107,0.428247995273158
1108,0.450344938090159
2015,0.4763910397503
2016,0.48973568299856
2018,0.495534644028372
2019,0.425049725586858
2021,0.369744457946983
2022,0.493549159052222
2025,0.0145842623963539
2032,0.570972882192935
2033,0.476502048617115
2040,0.38264662397322
2041,0.372744608145039
2042,0.444001634171254
2055,0.487211620577591
2057,0.368488834223928
2058,0.550011462021483
2061,0.508629870938308
2063,0.404661969779391
2064,0.589257763759666
2065,0.565734767566975
2067,0.564813603937487
2068,0.354170857373907
2069,0.443449370110899
2070,0.523271737743979
2072,0.440296530999586
2074,0.390777832875425
2075,0.55978648041519
2077,0.356519106597235
